City_ID,City,Country,Max Temp,Current Condition,Lat,Lng,Hotel Name
316,Bandarbeyla,SO,82.27,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
318,Necochea,AR,82.0,clear sky,-38.55,-58.74,dyd -mar Hotel
322,Sechura,PE,78.69,few clouds,-5.56,-80.82,Hospedaje Costa Bella
323,Dingle,PH,80.44,clear sky,11.0,122.67,Camp Pasica
328,Mumford,GH,83.66,light rain,5.26,-0.76,Spanish Villa
331,Cap Malheureux,MU,77.0,scattered clouds,-19.98,57.61,Pereybere Hotel & Spa
334,Lima,PE,77.0,scattered clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
335,La Romana,DO,82.4,few clouds,18.43,-68.97,Casa de Campo Resort and Villas
337,Cabedelo,BR,87.8,broken clouds,-6.98,-34.83,Lua Mansa Pousada
338,Ouadda,CF,80.47,overcast clouds,8.08,22.4,
339,Doha,QA,79.0,clear sky,25.29,51.53,Ezdan Hotel
341,Bosaso,SO,84.33,light rain,11.28,49.18,Red Sea Hotel
343,Hualmay,PE,78.89,scattered clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
344,Aracaju,BR,86.0,scattered clouds,-10.91,-37.07,HOTEL FÊNIX
345,Cozumel,MX,89.6,scattered clouds,20.51,-86.95,Cozumel Palace® All Inclusive Resort
347,Sesheke,ZM,80.6,scattered clouds,-17.48,24.3,Protea Hotel by Marriott Zambezi River Lodge
348,Tirumullaivasal,IN,82.99,broken clouds,11.23,79.83,Hostel thirumukaivasal
350,Grand Baie,MU,77.0,scattered clouds,-20.02,57.58,Trou aux Biches Beachcomber Golf Resort & Spa
352,Sabha,LY,86.38,overcast clouds,27.04,14.43,محطة ام الارانب -سبها مواصلات
362,Ondjiva,AO,77.54,broken clouds,-17.07,15.73,SOS Motel
365,Imbituba,BR,80.6,few clouds,-28.24,-48.67,Praia Hotel Imbituba
366,Humaita,BR,83.66,light rain,-7.51,-63.02,Corrêa Hotel
367,San Andres,CO,86.0,few clouds,12.58,-81.7,Hotel Arena Blanca
368,Hambantota,LK,82.4,scattered clouds,6.12,81.12,Bungalow 63
375,Caravelas,BR,80.53,light rain,-17.71,-39.25,Pousada dos Navegantes
376,Come,BJ,82.4,thunderstorm,6.41,1.88,MAGIC HOUSE
379,Santa Maria,BR,75.33,scattered clouds,-29.68,-53.81,Hotel Morotin
381,Sao Mateus,BR,80.44,light rain,-18.72,-39.86,Hotel Rio Norte
383,Banda Aceh,ID,79.83,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
387,Batticaloa,LK,81.68,broken clouds,7.71,81.69,Grand Star Guest House
389,Porbandar,IN,81.3,clear sky,21.64,69.61,Lords Inn Porbandar
391,Santa Rosa,PH,84.2,broken clouds,14.31,121.11,Hungry Soles Studios
392,Razole,IN,80.37,few clouds,16.48,81.83,Hotel Somisetty Landmark Konaseema
394,Vayalar,IN,87.8,haze,9.7,76.33,Marari Auroville
395,Santa Cruz Cabralia,BR,82.4,scattered clouds,-16.28,-39.02,Baia Cabrália Hotel
396,Soubre,CI,82.04,light rain,5.79,-6.61,Hote Ivoire Soubre
399,Saint-Raphael,HT,82.4,few clouds,19.43,-72.2,
402,Man,CI,89.33,broken clouds,7.41,-7.55,Sodetherm Hotel les Cascades Ma
404,Balugaon,IN,81.03,scattered clouds,20.17,85.1,Govind Chandra Pradhan
405,Deoli,IN,87.22,clear sky,25.75,75.38,HOTEL DWARKA PALACE
406,Nizwa,OM,80.8,clear sky,22.93,57.53,Orient Apartments
413,Laguna De Perlas,NI,87.8,broken clouds,12.34,-83.67,Hotel Best View
417,Pemba,MZ,84.2,broken clouds,-12.97,40.52,Guesthouse Samotina
419,Kalmunai,LK,82.38,broken clouds,7.42,81.82,VS Villa
424,Hattiesburg,US,75.99,haze,31.33,-89.29,Quality Inn & Suites
431,Esmeraldas,BR,82.4,scattered clouds,-19.76,-44.31,Hotel Fazenda Lagoa Azul
439,Rawson,AR,83.25,broken clouds,-43.3,-65.1,Hotel Punta León
