City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,Tasiilaq,65.61,-37.64,31.32,97,100,19.06,GL,2020-04-16 14:37:02
117,Rundu,-17.93,19.77,80.6,26,56,5.82,NA,2020-04-16 14:37:02
118,Cururupu,-1.83,-44.87,82.69,81,100,2.64,BR,2020-04-16 14:37:02
119,Brae,60.4,-1.35,46.4,65,39,9.17,GB,2020-04-16 14:37:02
120,Morondava,-20.28,44.28,83.64,69,3,8.16,MG,2020-04-16 14:37:02
121,Upernavik,72.79,-56.15,28.38,94,100,10.38,GL,2020-04-16 14:37:02
122,Dingle,11.0,122.67,80.6,72,0,9.08,PH,2020-04-16 14:37:02
123,Tukrah,32.53,20.58,62.53,61,0,17.9,LY,2020-04-16 14:37:03
124,Narsaq,60.92,-46.05,37.4,59,75,5.82,GL,2020-04-16 14:37:03
125,Iisalmi,63.56,27.19,37.4,64,20,16.11,FI,2020-04-16 14:37:03
126,Sambava,-14.27,50.17,76.55,86,72,7.61,MG,2020-04-16 14:37:03
127,Saldanha,-33.01,17.94,69.8,82,20,17.22,ZA,2020-04-16 14:37:03
128,Gloversville,43.05,-74.34,39.99,66,90,12.75,US,2020-04-16 14:32:24
129,Itaituba,-4.28,-55.98,80.6,88,75,1.01,BR,2020-04-16 14:37:03
130,Tortoli,39.93,9.66,66.2,63,75,5.82,IT,2020-04-16 14:37:03
131,Wadi Musa,30.32,35.48,65.93,25,45,10.09,JO,2020-04-16 14:37:03
132,Kalakamati,-20.59,27.31,78.8,65,40,6.93,BW,2020-04-16 14:37:03
133,Skjervoy,70.03,20.97,39.2,60,0,2.24,NO,2020-04-16 14:37:03
134,Labe,11.32,-12.28,86.52,28,81,6.15,GN,2020-04-16 14:37:04
135,Bathsheba,13.22,-59.52,86.0,62,40,19.46,BB,2020-04-16 14:37:04
136,Victoria,22.29,114.16,75.0,73,20,6.93,HK,2020-04-16 14:37:04
137,Gra Liyia,35.02,25.68,63.0,51,20,23.04,GR,2020-04-16 14:37:04
138,Sundargarh,22.12,84.03,91.71,16,73,5.1,IN,2020-04-16 14:37:04
139,Kralendijk,12.15,-68.27,86.0,62,40,19.46,BQ,2020-04-16 14:37:04
140,Marystown,47.17,-55.15,37.24,79,50,14.56,CA,2020-04-16 14:37:04
141,Kashi,39.45,75.98,69.8,14,4,2.24,CN,2020-04-16 14:37:04
142,Villazon,-22.09,-65.59,50.9,17,79,8.19,BO,2020-04-16 14:37:05
143,Clyde River,70.47,-68.59,6.8,84,90,20.8,CA,2020-04-16 14:37:05
144,Ploemeur,47.73,-3.43,66.99,63,39,4.7,FR,2020-04-16 14:37:05
145,Guarapari,-20.67,-40.5,82.99,78,20,9.17,BR,2020-04-16 14:37:05
146,Jacareacanga,-6.22,-57.75,75.2,100,75,1.12,BR,2020-04-16 14:37:05
147,Santa Marta,11.24,-74.2,84.99,74,5,4.7,CO,2020-04-16 14:37:05
148,Peru,40.75,-86.07,39.0,64,1,13.87,US,2020-04-16 14:35:43
149,Asfi,32.3,-9.24,69.62,54,97,14.12,MA,2020-04-16 14:37:05
150,Arraial Do Cabo,-22.97,-42.03,78.8,83,75,8.05,BR,2020-04-16 14:37:05
151,Novoagansk,61.94,76.66,34.95,97,100,2.48,RU,2020-04-16 14:37:05
152,Caravelas,-17.71,-39.25,82.47,71,51,4.56,BR,2020-04-16 14:37:05
153,Pasni,25.26,63.47,83.8,49,100,12.37,PK,2020-04-16 14:37:05
154,Iquique,-20.22,-70.14,73.4,53,0,19.46,CL,2020-04-16 14:35:53
155,Hearst,49.68,-83.67,20.19,92,99,9.93,CA,2020-04-16 14:37:06
156,Andenes,69.31,16.12,39.99,76,75,8.05,NO,2020-04-16 14:37:06
157,Caraz,-9.05,-77.81,67.23,22,52,2.57,PE,2020-04-16 14:37:06
158,Mahebourg,-20.41,57.7,75.2,94,75,13.87,MU,2020-04-16 14:37:06
159,Chepen,-7.22,-79.45,66.2,29,31,11.41,PE,2020-04-16 14:37:06
160,Aasiaat,68.71,-52.87,29.25,97,100,8.7,GL,2020-04-16 14:37:06
161,Ygatimi,-24.08,-55.5,76.06,26,0,4.07,PY,2020-04-16 14:37:06
162,Strezhevoy,60.73,77.59,41.0,97,100,2.24,RU,2020-04-16 14:37:06
163,Tete,-16.16,33.59,100.4,35,75,3.36,MZ,2020-04-16 14:37:06
164,Porto Novo,6.5,2.6,89.6,75,20,17.22,BJ,2020-04-16 14:37:06
165,Bibbiena,43.7,11.81,71.01,26,100,6.93,IT,2020-04-16 14:37:06
166,Sorland,67.67,12.69,37.4,69,75,24.0,NO,2020-04-16 14:37:06
167,Marawi,8.0,124.29,69.51,72,33,2.82,PH,2020-04-16 14:37:06
168,Klaksvik,62.23,-6.59,44.6,70,47,8.05,FO,2020-04-16 14:37:07
169,Muravlenko,63.79,74.52,30.0,98,100,7.74,RU,2020-04-16 14:37:07
170,Axim,4.87,-2.24,87.48,68,16,11.21,GH,2020-04-16 14:37:07
171,Cidreira,-30.18,-50.21,67.51,61,26,18.81,BR,2020-04-16 14:37:07
172,Natal,-5.79,-35.21,77.0,94,90,4.7,BR,2020-04-16 14:37:07
173,Mochudi,-24.42,26.15,84.2,13,0,10.29,BW,2020-04-16 14:37:07
174,Shiraz,29.6,52.54,60.8,48,40,6.93,IR,2020-04-16 14:35:47
175,Loviisa,60.46,26.23,44.01,52,75,10.29,FI,2020-04-16 14:37:07
176,Samana,19.21,-69.34,77.0,88,75,4.7,DO,2020-04-16 14:37:07
177,Plaster Rock,46.91,-67.39,33.01,76,75,11.41,CA,2020-04-16 14:37:07
178,Ormond Beach,29.29,-81.06,63.0,93,75,5.82,US,2020-04-16 14:32:50
179,Sur,22.57,59.53,88.43,34,96,15.17,OM,2020-04-16 14:37:08
180,Koboko,3.41,30.96,81.21,44,73,2.24,UG,2020-04-16 14:37:08
181,Bhawanipatna,19.9,83.17,89.92,23,34,5.1,IN,2020-04-16 14:37:08
182,Mangrol,21.12,70.12,83.03,56,30,15.23,IN,2020-04-16 14:37:08
183,Novyy Urengoy,66.08,76.63,22.59,98,86,6.31,RU,2020-04-16 14:37:08
184,Marfino,55.7,37.38,39.2,86,90,11.18,RU,2020-04-16 14:37:08
185,Havre-Saint-Pierre,50.23,-63.6,28.4,42,1,18.34,CA,2020-04-16 14:37:08
186,Hofn,64.25,-15.21,42.8,69,75,9.17,IS,2020-04-16 14:37:08
187,Gumla,23.05,84.55,84.78,18,63,5.28,IN,2020-04-16 14:37:08
188,Horn,51.87,8.95,70.0,39,75,3.36,DE,2020-04-16 14:37:09
189,Aden,12.78,45.04,84.52,72,26,9.4,YE,2020-04-16 14:37:09
190,Takoradi,4.88,-1.76,88.27,67,20,12.8,GH,2020-04-16 14:37:09
191,Tourlaville,49.64,-1.57,69.8,60,29,10.29,FR,2020-04-16 14:37:08
192,Kyrylivka,46.38,35.37,51.94,64,65,20.56,UA,2020-04-16 14:37:09
193,Laje,-10.18,-40.97,80.56,55,83,7.81,BR,2020-04-16 14:35:17
194,Porto Walter,-8.27,-72.74,70.09,91,100,3.96,BR,2020-04-16 14:37:09
195,Tougue,11.47,-11.6,90.25,27,48,6.67,GN,2020-04-16 14:37:09
196,Puerto Del Rosario,28.5,-13.86,77.0,68,20,8.05,ES,2020-04-16 14:37:09
197,Santa Vitoria Do Palmar,-33.52,-53.37,70.52,70,44,12.57,BR,2020-04-16 14:37:09
198,Usinsk,65.99,57.53,37.4,84,100,12.48,RU,2020-04-16 14:37:10
199,Kindu,-2.95,25.95,87.58,54,96,1.25,CD,2020-04-16 14:37:10
200,Mehamn,71.04,27.85,37.4,64,100,4.7,NO,2020-04-16 14:37:10
201,Alberton,46.82,-64.07,35.01,25,96,11.7,CA,2020-04-16 14:37:10
202,Maragogi,-9.01,-35.22,83.88,70,96,8.84,BR,2020-04-16 14:37:10
203,Ribeira Grande,38.52,-28.7,62.6,59,40,14.99,PT,2020-04-16 14:37:10
204,Honningsvag,70.98,25.97,37.4,64,100,4.7,NO,2020-04-16 14:37:10
205,Urucara,-2.54,-57.76,86.18,62,68,2.04,BR,2020-04-16 14:37:10
206,Virginia Beach,36.85,-75.98,57.2,43,1,10.29,US,2020-04-16 14:35:20
207,Netivot,31.42,34.59,71.01,69,7,1.99,IL,2020-04-16 14:37:11
208,Lebu,-37.62,-73.65,62.29,73,99,10.0,CL,2020-04-16 14:37:11
209,Gamba,-2.65,10.0,79.93,85,100,12.03,GA,2020-04-16 14:37:11
210,Bandarbeyla,9.49,50.81,83.57,71,0,12.19,SO,2020-04-16 14:37:11
211,Puntarenas,9.98,-84.84,77.0,61,89,12.75,CR,2020-04-16 14:36:00
212,Yazman,29.12,71.74,94.06,14,100,5.99,PK,2020-04-16 14:37:11
213,Evans,33.53,-82.13,64.0,51,1,8.05,US,2020-04-16 14:34:54
214,Cosesti,45.07,24.87,66.99,39,41,7.92,RO,2020-04-16 14:37:11
215,General Roca,-39.03,-67.58,64.4,59,0,3.98,AR,2020-04-16 14:37:11
216,Atar,20.52,-13.05,98.4,8,55,12.21,MR,2020-04-16 14:37:11
217,Saint Anthony,45.02,-93.22,36.0,59,1,11.41,US,2020-04-16 14:37:12
218,Yokadouma,3.52,15.05,94.69,33,99,1.86,CM,2020-04-16 14:37:12
219,Ilorin,8.5,4.55,104.45,18,0,5.06,NG,2020-04-16 14:33:08
220,Male,4.17,73.51,87.8,70,20,4.7,MV,2020-04-16 14:37:12
221,Hamilton,39.18,-84.53,43.0,48,1,6.93,US,2020-04-16 14:37:12
222,Zhanaozen,43.3,52.8,61.23,39,51,4.27,KZ,2020-04-16 14:37:12
223,Troitskiy,57.06,63.75,54.68,46,100,13.06,RU,2020-04-16 14:37:12
224,Vestmannaeyjar,63.44,-20.27,44.6,75,75,4.7,IS,2020-04-16 14:37:12
225,Anuradhapura,8.36,80.42,79.93,81,100,1.14,LK,2020-04-16 14:37:12
226,Beyneu,45.32,55.2,67.32,27,92,3.09,KZ,2020-04-16 14:37:12
227,Torbay,47.67,-52.73,37.99,93,90,12.75,CA,2020-04-16 14:37:12
228,Bhadrachalam,17.67,80.88,91.98,36,62,11.07,IN,2020-04-16 14:37:12
229,Reconquista,-29.15,-59.65,71.67,32,0,3.91,AR,2020-04-16 14:37:13
230,Vila Franca Do Campo,37.72,-25.43,60.8,77,40,12.75,PT,2020-04-16 14:37:13
231,Sisimiut,66.94,-53.67,31.69,90,98,9.95,GL,2020-04-16 14:37:13
232,Micoud,13.82,-60.9,87.8,58,40,20.8,LC,2020-04-16 14:37:13
233,Namibe,-15.2,12.15,79.63,61,0,12.37,AO,2020-04-16 14:37:13
234,Alghero,40.56,8.32,71.6,33,100,5.82,IT,2020-04-16 14:37:13
235,Castro,-24.79,-50.01,71.37,24,0,2.33,BR,2020-04-16 14:37:13
236,Tessalit,20.2,1.01,99.91,9,23,8.46,ML,2020-04-16 14:37:13
237,Lieksa,63.32,30.02,38.05,72,100,11.36,FI,2020-04-16 14:37:13
238,Cap-Chat,49.1,-66.68,27.27,86,83,18.57,CA,2020-04-16 14:37:14
239,Gilbues,-9.83,-45.34,81.37,61,65,4.83,BR,2020-04-16 14:37:14
240,Mossendjo,-2.95,12.73,78.8,83,100,3.6,CG,2020-04-16 14:37:14
241,Idanre,7.11,5.12,100.08,30,40,1.07,NG,2020-04-16 14:37:14
242,Bonavista,48.65,-53.11,36.0,87,47,10.0,CA,2020-04-16 14:35:48
243,Mecca,21.43,39.83,83.57,27,0,10.49,SA,2020-04-16 14:35:08
244,Thompson,55.74,-97.86,14.0,72,90,11.41,CA,2020-04-16 14:37:14
245,Labrea,-7.26,-64.8,80.19,76,79,4.85,BR,2020-04-16 14:37:14
246,Ancud,-41.87,-73.82,55.4,100,90,16.11,CL,2020-04-16 14:37:15
247,San Pedro,14.35,121.02,84.99,74,75,6.93,PH,2020-04-16 14:36:33
248,Olafsvik,64.89,-23.71,40.66,79,99,18.05,IS,2020-04-16 14:37:15
249,Bhitarwar,25.8,78.12,93.36,14,83,6.58,IN,2020-04-16 14:37:15
250,Puerto Colombia,10.99,-74.95,84.2,74,20,6.93,CO,2020-04-16 14:33:56
251,George,-33.96,22.46,68.0,60,0,6.93,ZA,2020-04-16 14:35:20
252,Sharlyk,52.92,54.75,39.09,80,100,11.97,RU,2020-04-16 14:37:15
253,Sosnovskoye,55.81,43.17,42.8,73,40,11.18,RU,2020-04-16 14:37:15
254,Camacari,-12.7,-38.32,86.0,70,40,10.29,BR,2020-04-16 14:37:15
255,Los Llanos De Aridane,28.66,-17.92,73.4,56,40,8.05,ES,2020-04-16 14:37:15
256,Deer Lake,49.17,-57.43,39.2,51,75,13.87,CA,2020-04-16 14:37:15
257,Luanda,-8.84,13.23,89.6,62,75,6.93,AO,2020-04-16 14:37:15
258,Buchanan,5.88,-10.05,93.2,63,40,3.36,LR,2020-04-16 14:37:15
259,Emba,48.83,58.14,55.78,36,100,15.26,KZ,2020-04-16 14:37:16
260,Igarka,67.47,86.58,25.83,97,99,11.9,RU,2020-04-16 14:37:16
261,Carnaiba,-8.7,-37.67,88.3,42,34,9.73,BR,2020-04-16 14:37:16
262,Linden,6.0,-58.3,86.0,70,75,11.41,GY,2020-04-16 14:36:44
263,Kutum,14.2,24.67,88.54,5,0,13.13,SD,2020-04-16 14:37:16
264,Nueva Loja,0.08,-76.88,75.2,94,90,2.24,EC,2020-04-16 14:37:16
265,Antofagasta,-23.65,-70.4,66.2,72,62,4.7,CL,2020-04-16 14:37:16
266,Santa Cruz Del Sur,20.71,-78.0,85.69,59,19,0.63,CU,2020-04-16 14:37:16
267,Kavaratti,10.57,72.64,85.51,66,8,5.79,IN,2020-04-16 14:37:16
268,Necochea,-38.55,-58.74,64.0,73,35,5.1,AR,2020-04-16 14:35:46
269,Margate,51.38,1.39,64.99,59,100,8.05,GB,2020-04-16 14:32:50
270,Olinda,-8.01,-34.86,82.4,88,40,5.82,BR,2020-04-16 14:37:17
271,Guarapuava,-25.4,-51.46,69.31,16,0,2.1,BR,2020-04-16 14:33:39
272,Richards Bay,-28.78,32.04,72.84,76,31,10.74,ZA,2020-04-16 14:37:17
273,Nevers,46.92,3.33,75.99,40,38,3.36,FR,2020-04-16 14:37:17
274,Saint-Pierre,-21.34,55.48,78.8,65,15,24.16,RE,2020-04-16 14:33:05
275,Placido De Castro,-10.34,-67.19,79.45,58,83,6.46,BR,2020-04-16 14:37:17
276,Mezhdurechensk,53.69,88.06,42.1,77,83,4.85,RU,2020-04-16 14:37:17
277,Birao,10.28,22.79,101.95,6,0,8.84,CF,2020-04-16 14:37:17
278,Oksfjord,70.24,22.35,39.2,60,33,2.24,NO,2020-04-16 14:37:17
279,Sisian,39.53,46.03,64.4,36,75,9.17,AM,2020-04-16 14:37:17
280,Marsh Harbour,26.54,-77.06,80.56,76,23,13.24,BS,2020-04-16 14:35:16
281,Shelburne,44.08,-80.2,35.6,67,75,10.29,CA,2020-04-16 14:37:18
282,Touros,-5.2,-35.46,77.0,94,90,4.7,BR,2020-04-16 14:37:18
